Year,Quarter,Segment,Region,Subscribers,Revenue_QR_Mn,ARPU_QR,Data_Usage_GB,Voice_Minutes_Mn,Customer_Satisfaction_Index,Churn_Rate_Pct,Complaints_Resolved_Pct,New_Activations,Deactivations,Avg_Resolution_Time_Hours,eSIM_Activations,Recharge_Transactions_Thousand,Retail_Store_Visits_Thousand,Digital_Sales_Pct,Network_Availability_Pct
2022,Q1,Mobile Prepaid,Doha,97395,156.7299957,107.3199997,267.6099854,58.68000031,88.43000031,2.970000029,96.83000183,28040,8945,5.929999828,5547,643,191,57.31999969,99.959198
2022,Q1,Mobile Prepaid,Al Rayyan,89275,153.5299988,105.4000015,237.7299957,54.13999939,73.77999878,2.619999886,97.81999969,22963,8824,2.950000048,5100,630,99,47.72000122,99.97879791
2022,Q1,Mobile Prepaid,Al Wakrah,91988,141.4900055,95.58000183,253.2899933,65.38999939,76.80999756,2.640000105,97.62000275,24531,9482,3.670000076,4085,477,168,67.66999817,99.9654007
2022,Q1,Mobile Prepaid,Umm Salal,97818,156.9900055,112.0699997,223.3699951,53.29000092,77.41999817,2.400000095,95.38999939,27340,13421,5.070000172,4826,553,245,65.59999847,99.91249847
2022,Q1,Mobile Prepaid,Al Khor,97013,144.5700073,107.0800018,244.3300018,58.20999908,74.29000092,2.599999905,96.23000336,28976,10536,4.960000038,3859,497,247,52.15000153,99.90730286
2022,Q1,Mobile Postpaid,Doha,110577,135.7799988,98.08999634,271.0799866,50.61999893,84.77999878,2.25,96.44000244,25501,10135,3.680000067,4732,522,198,71.69999695,99.97270203
2022,Q1,Mobile Postpaid,Al Rayyan,105331,136.4299927,108.8300018,238.6300049,66.94000244,80.34999847,2.430000067,96.93000031,30533,11955,3.980000019,6121,593,149,50.79000092,99.93669891
2022,Q1,Mobile Postpaid,Al Wakrah,94178,128.4799957,108.5100021,254.2400055,54.88000107,75.55000305,2.880000114,95.63999939,30179,8097,6.010000229,6277,844,159,58.38000107,99.95870209
2022,Q1,Mobile Postpaid,Umm Salal,90376,144.5899963,101.1800003,299.0899963,50.83000183,74.62999725,2.430000067,98.73000336,33637,10818,4.820000172,3445,763,223,61.34000015,99.93029785
2022,Q1,Mobile Postpaid,Al Khor,101898,187.4600067,110.6100006,263.3800049,48.75,81.68000031,2.579999924,98.40000153,27911,8890,6.130000114,4573,527,260,40.88000107,99.93840027
2022,Q1,Fixed Broadband,Doha,99206,164.2100067,107.8799973,268.1700134,61.20999908,79.51000214,2.720000029,98.54000092,36572,8510,5.059999943,5396,666,237,55.75,99.93109894
2022,Q1,Fixed Broadband,Al Rayyan,101163,179.3500061,103.1600037,324.8200073,60.84999847,87.69000244,3.160000086,98.05000305,28451,12045,4.679999828,5494,719,169,76.11000061,99.93800354
2022,Q1,Fixed Broadband,Al Wakrah,102274,166.3600006,104.9400024,262.5700073,62.70000076,85.05000305,2.690000057,98.19000244,38693,9831,6.010000229,5846,501,286,61,99.94860077
2022,Q1,Fixed Broadband,Umm Salal,106633,165.8000031,100.75,251.2599945,61.70999908,74.68000031,3.099999905,99.58999634,20698,7404,4.760000229,5644,547,266,38.13999939,99.97419739
2022,Q1,Fixed Broadband,Al Khor,102619,155.2299957,102.1800003,218.6199951,65.70999908,84.84999847,2.170000076,97.48999786,24002,7873,5.059999943,4201,737,242,49.84999847,99.9434967
2022,Q1,Managed Services,Doha,100013,160.8800049,102.4100037,262.2900085,55.41999817,91.77999878,2.74000001,97.05999756,34691,10126,6.599999905,4641,784,75,73.94999695,99.9571991
2022,Q1,Managed Services,Al Rayyan,106521,135.6600037,102.4599991,249.9100037,66.31999969,82.58999634,2.430000067,98.94000244,29746,12767,4.929999828,5050,614,309,61.68999863,99.95069885
2022,Q1,Managed Services,Al Wakrah,100885,120.5100021,109.1600037,202.6600037,63.59999847,76,1.679999948,97.70999908,27208,9664,5.71999979,2672,737,225,52.06000137,99.95290375
2022,Q1,Managed Services,Umm Salal,80696,164.6600037,103.5699997,229.2200012,51.99000168,75.59999847,2.329999924,97.58999634,21429,9987,3.460000038,2961,718,192,55.04000092,99.96730042
2022,Q1,Managed Services,Al Khor,104577,139.2100067,109.6900024,232.0800018,51.15999985,73.88999939,2.130000114,95.59999847,33510,10423,7.079999924,2579,593,234,67.80000305,99.92630005
2022,Q1,IoT,Doha,87477,166.3600006,92.38999939,243.2200012,57.25999832,69.77999878,2.039999962,95.13999939,25546,10808,4.980000019,4281,489,252,59.93999863,99.94069672
2022,Q1,IoT,Al Rayyan,92280,103.7300034,100.75,272.9200134,45.09000015,83.45999908,2.420000076,94.79000092,23043,12779,5.260000229,4435,520,261,61.38999939,99.97200012
2022,Q1,IoT,Al Wakrah,96100,154.9700012,102.0800018,276.3699951,53.68999863,78.63999939,2.089999914,98.19000244,28535,7729,5.010000229,4731,596,126,59.79999924,99.98690033
2022,Q1,IoT,Umm Salal,106978,155.1100006,109.5599976,216.8699951,70.43000031,79.25,2.910000086,97.48999786,36308,8592,4.480000019,6422,676,138,77.13999939,99.95159912
2022,Q1,IoT,Al Khor,97729,154.3399963,106,256.0400085,67.01999664,68.33000183,2.450000048,96.72000122,28241,10814,3.359999895,4743,563,176,65.95999908,99.92620087
2022,Q1,Devices,Doha,93556,170.2400055,103.0100021,272.6799927,49.06000137,85.37999725,3.160000086,94.51999664,25913,6316,5.099999905,6554,525,191,56.25,99.95500183
2022,Q1,Devices,Al Rayyan,105740,125.7300034,108.3899994,281.7099915,69.98999786,76.66000366,2.890000105,94.66000366,29658,11038,5.579999924,4907,519,168,73.63999939,99.94580078
2022,Q1,Devices,Al Wakrah,100813,141.8999939,103.1100006,218.7799988,62.43999863,77.38999939,3.200000048,95.41999817,32528,14318,2.75999999,5083,657,233,51.81000137,99.95870209
